"1"," St. Andrew's Senior Public School ","65 Victoria Ave"," Cambridge   ","N1S1X2","Waterloo Region DSB","528781","Yes",,"
","0"
"2","McKenzie-Smith Bennett","69 Acton Blvd","Acton","L7J2H4","Halton DSB","353183","Yes",,"
","0"
"3","McKenzie-Smith Bennett","69 Acton Blvd","Acton","L7J2H5","Halton DSB","353183","Yes",,"
","0"
"4","McKenzie-Smith Bennett","69 Acton Blvd","Acton","L7J2H4","Halton DSB","353183","Yes",,"
","0"
"5","Robert Little","41 School Lane","Acton","L7J1B9","Halton DSB","487570","Yes",,"
","0"
"6","Robert Little","41 School Lane","Acton","L7J1B9","Halton DSB","487570","Yes",,"
","0"
"7","St. Joseph Acton","147 Mill","Acton","L7J1G7","Halton CDSB","809144","Yes",,"
","0"
"8","Meadowview PS","9234 Addison-Greenbush Road RR 2","Addison","K0E1A0","Upper Canada DSB","356417","Yes",,"
","0"
"9","Agincourt CI","2621 Midland Ave","Agincourt","M1S1R6","Toronto DSB","890723","Yes",,"Yes
","0"
"10","L'Amoreaux Collegiate Institute","2501 Bridletowne Circle","Agincourt","M1W2K1","Toronto DSB","920576","Yes","Yes"," 
","0"
"11","Ajax High School","105 Bayly St E","Ajax","L1S1P2","Durham DSB","890855","Yes",,"
","0"
"12","Applecroft Public School","55 Coles Ave","Ajax","L1T3H5","Durham DSB","20036","Yes",,"
","0"
"13","Archbishop Anthony Meagher Catholic Continuing Education Centre","692 King St E","Ajax","L1S1R6","Durham CDSB","992259","Yes",,"
","0"
"14","Archbishop Denis O'Connor C.H.S.","80 Mandrake St","Ajax","L1H5H4","Durham CDSB","703923","Yes",,"
","0"
"15","Bolton C. Falby Public School","80 Falby Crt","Ajax","L1S1N4","Durham DSB","33952","Yes",,"
","0"
"16","Duffins's Bay Public School","66 Pittmann Cres","Ajax","L1S3G4","Durham DSB","5215",,,"Yes
","0"
"17","Father Donald MacLellan catholic Secondary School(Ajax) - Return Ticket","1500 HOPKINS ST","Ajax","L1S3V4","Durham CDSB","682867","Yes",,"Yes
","0"
"18","J. Clarke Richardson Collegiate","1355 Harwood Ave N","Ajax","L1T4G8","Durham DSB","918423","Yes",,"
","0"
"19","Lester B Pearson Public School","21 Coughlen St","Ajax","L1T2M9","Durham DSB","311707","Yes",,"
","0"
"20","Lincoln Alexander Public School","70 Lincoln St","Ajax","L1T2W4","Durham DSB","312983",,,"Yes
","0"
"21","Lincoln Avenue Public School","70 Lincoln St","Ajax","L1S6C9","Durham DSB","312983","Yes",,"
","0"
"22","Lord Elgin Public School","24 Ontario St","Ajax","L1S1T6","Durham DSB","321176","Yes",,"
","0"
"23","Notre Dame C.S.S.","1375 Harwood Ave N","Ajax","L1T4G8","Durham CDSB","738050","Yes",,"
","0"
"24","Notre-Dame-de-la-Jeunesse","71 Ritchie avenue","Ajax","L1S6S5","CSDC Centre-Sud","738166","Yes",,"
","0"
"25","Pickering High School","180 Church St N","Ajax","L1T2W7","Durham DSB","935310","Yes",,"
","0"
"26","Roland Michener Public School","95 Ritchie Ave","Ajax","L1S6S2","Durham DSB","489336",,,"Yes
","0"
"27","St. Bernadette C.S.","41 Bayly St E","Ajax","L1S1P2","Durham CDSB","777242","Yes",,"
","0"
"28","St. Catherine Siena Catholic School","15 Bennett Ave","Ajax","L1T3P1","Durham CDSB","781282",,,"Yes
","0"
"29","St. Jude Catholic School","68 Coles Ave","Ajax","L1T3H5","Durham CDSB","772020","Yes",,"
","0"
